id,Name,Description
0,TeamSync,"TeamSync aims to improve the quality and balance of student teams by offering a data-driven, user-friendly experience for discovering, evaluating, and matching with potential teammates."
1,RandomCoffee,"Random Coffee is a web-based service integrated within a Telegram bot, designed to foster meaningful connections through casual meetups. Users can register, set their preferences, and choose relevant tags that reflect their interests or professional background. The system matches them weekly with others who share similar interests."
2,EvOps,"A self-hosted platform to share and discover local events, providing recommendations based on user preferences and location."
3,UrTraining,"A web-based platform for creating, distributing, and following personalized training plans. AI-powered recommendations help users reach their fitness goals efficiently."
4,Red7,"An online version of the Russian game '7Red', featuring secure authentication, multiple game modes, player statistics, and achievements."
5,SolarWind,"An app connecting people through sports and active lifestyles. Users can find workout buddies, join local events, or chat with like-minded athletes."
6,ControlLab,"Software and hardware platform for robotics students to practice Control Theory, Reinforcement Learning, and modern robotics techniques."
7,SmartClause,"AI service for contract analysis, identifying legal risks and compliance issues using semantic search and language models."
8,VerilogContest,"A contest platform for digital design practice using hardware description languages, with automated verification of solutions."
9,EasyTravel,Smart service to find interesting city locations for walks or relaxation. Understands free-form requests and suggests places based on context and user interests.
10,Smartify,"Educational platform combining career guidance, university selection, and tutor recommendations with AI-powered personalization for students."
11,GymGenius,Offline-friendly workout tracker that syncs to the cloud and provides AI coaching for smarter progression. Web dashboard available for monitoring and moderation.
12,InnoServicesSearch,"AI-powered search platform for university services, allowing students to quickly find information about dormitories, classes, and facilities."
13,InnopolisGame,"Unity 2.5D game where players explore university areas, interact with NPCs, and learn through mini-quests and dialogues."
14,Mealix,"Telegram mini-app generating personalized meal plans based on dietary preferences, allergies, and favorite cuisines, with detailed cooking instructions and product lists."
15,Killah,"AI writing companion for macOS using on-device LLM to help users start, continue, and refine their writing projects."
16,SkillsNavigator,"Website that builds personalized learning roadmaps, recommending courses based on skill level, goals, and budget."
17,KIZAK,"AI learning assistant guiding IT learners with personalized paths, daily/weekly tasks, and progress tracking through a smart coach."
18,NeuroCoach,"Intelligent AI assistant providing personalized coaching for fitness, learning, or productivity with interactive guidance and progress tracking."
19,LibNet,"Service unifying book search across multiple libraries, allowing reservations and easy tracking of availability."
20,SignGame,Unity 2D game where players draw symbols to defeat enemies.
21,DeathRoom,"Fast-paced arena shooter inspired by Quake and Call of Duty, with up to 12-player multiplayer matches and leaderboards."
22,EgoAI,Personal AI assistant helping users organize tasks and view news updates efficiently.
23,BookRecommendation,Distributed system generating personalized book recommendations based on reading history and ratings.
24,PALTUS,"Web-service using AI and gamification to help users organize self-study, offering lessons with subtopics and study resources."
25,OutfitPredict,Web platform recommending outfits based on user wardrobe and fashion trends from movies and fashion collections.
26,Kolobok,"Software analyzing tire brands, models, and conditions, designed for car services and retail."
27,VoiceDiary,"AI-powered voice journaling tool analyzing tone, emotion, and themes to provide personalized insights and well-being suggestions."
28,Metalytics,"Analytical system forecasting prices of metals on stock exchanges, considering news, sanctions, and macroeconomic indicators."
29,ReadTracker,Platform tracking books read and providing reading statistics and insights.
30,ProjectOR,"Platform allowing creators to post startup ideas, developers to explore projects, and teams to collaborate efficiently."
31,FishMasters,"Application for fishermen to find fishing spots, track catches, and compare with other users."
32,TheCOOrP,"Cooperative anomaly management simulation in Godot engine, similar to Lobotomy Corporation."
33,InnoSync,Talent-matching and project collaboration platform for university communities using AI-powered matchmaking.
34,DataSculptor,Integrated IDE agent mentoring users in Machine Learning and Data Science with real-time educational feedback.
35,Fluently,Application providing personalized English lessons and realistic conversations with AI for learners at A2-C2 CEFR levels.
36,Looki,Virtual fitting app using computer vision and 3D modeling to recommend clothing sizes and create personalized 3D models.
37,Vanguard,Interactive platform for creating and playing real-time quizzes with gamification elements and detailed analytics.
38,EdHub,"Learning Management System for teachers, students, and parents with assignment tracking and grading."
39,AutonomousDrift,Autonomous drift stabilization system for vehicles using minimal sensor data to maintain stability.
40,StyleU,"AI stylist recommending clothes based on color and body type, collecting images from marketplaces."
41,ProjectFly,Agricultural drone solution for measuring liquid levels in UAV tanks for crop spraying.
42,Hypershelf,"Digital asset inventory system unifying information with static views, links, and plugin system."
43,CookCookhNya,Application suggesting recipes based on available ingredients and user preferences.
44,MLTD,Threat detection API using machine learning to analyze log files and detect cyber threats.
